start_index,end_index,field_length,field_name
443,444,2,IntInv_SocStd
445,446,2,IntInv_BusCStd
447,448,2,IntInv_BusOpStd
449,451,3,IntInv_TechRnk
452,454,3,IntInv_SciRnk
455,457,3,IntInv_ArtRnk
458,460,3,IntInv_SocRnk
461,463,3,IntInv_BusCRnk
464,466,3,IntInv_BusOpRnk
467,469,3,English_9
470,472,3,English_10
473,475,3,English_11
476,478,3,English_12
479,481,3,English_Other
482,484,3,English_Other_2
485,487,3,English_Other_3
488,490,3,English_Credit
491,493,3,Algebra_1
494,496,3,Geometry
497,499,3,Algebra_2
500,502,3,Trigonometry
503,505,3,Pre_Calc
506,508,3,Calculus
509,511,3,Math_Other
512,514,3,Math_Other_2
515,517,3,Math_College_Prep_9
518,520,3,Math_College_Prep_10
521,523,3,Math_College_Prep_11
524,526,3,Math_College_Prep_12
527,529,3,Math_Credit
530,532,3,History_US
533,535,3,History_World
536,538,3,Gvt_Civics
539,541,3,Global_Studies
542,544,3,Geography
545,547,3,Economics
548,550,3,Psychology
551,553,3,Sociology
554,556,3,Social_Studies_Other
557,559,3,Social_Studies_Other_2
560,562,3,Social_Studies_Credit
563,565,3,General_Science
566,568,3,Biology_1
569,571,3,Biology_2
572,574,3,Chemistry_1
575,577,3,Chemistry_2
578,580,3,Physics
581,583,3,Anat_Phys
584,586,3,Natural_Science_Other
587,589,3,Natural_Science_Other_2
590,592,3,Natural_Science_Credit
593,593,1,Spanish_Credit
594,594,1,French_Credit
595,595,1,German_Credit
596,596,1,Lang_Other_Credit
597,597,1,IntCareer_Fit
598,600,3,G_HS_Avg
601,603,3,G_AllEng
604,606,3,G_AllMth
607,609,3,G_AllSocSt
610,612,3,G_AllNatSc
613,613,1,Core_Ind
614,625,12,Suppl_Local_Itms
626,628,3,Test_Form
641,685,45,Eng_Responses
691,726,36,Math_Responses
731,755,25,Read_Responses
756,785,30,Sci_Responses
786,830,45,Eng_Itm_Scores
836,871,36,Math_Itm_Scores
876,900,25,Read_Itm_Scores
901,930,30,Sci_Itm_Scores
931,932,2,Eng_Raw
933,934,2,Math_Raw
935,936,2,Read_Raw
937,938,2,Sci_Raw
947,986,40,Address1
987,1011,25,City
1012,1013,2,State
1014,1022,9,Zip
1050,1064,15,Stu_ID_Num
1065,1109,45,Pred_Local_Items
1120,1121,2,Pred_PreACT_Eng_Low
1122,1123,2,Pred_PreACT_Eng_High
1124,1125,2,Pred_PreACT_Mth_Low
1126,1127,2,Pred_PreACT_Mth_High
1128,1129,2,Pred_PreACT_Rdg_Low
1130,1131,2,Pred_PreACT_Rdg_High
1132,1133,2,Pred_PreACT_Sci_Low
1134,1135,2,Pred_PreACT_Sci_High
1136,1137,2,Pred_PreACT_Composite_Low
1138,1139,2,Pred_PreACT_Composite_High
1140,1141,2,Pred_PreACT_STEM_Low
1142,1143,2,Pred_PreACT_STEM_High
